"COUNTRY","Country","EMPSTAT","Employment status","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"DNK","Denmark","TE","Total employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,1463,,
"DNK","Denmark","TE","Total employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,1458,,
"DNK","Denmark","TE","Total employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,1458,,
"DNK","Denmark","TE","Total employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,1451,,
"DNK","Denmark","TE","Total employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,1456,,
"DNK","Denmark","TE","Total employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,1433,,
"DNK","Denmark","TE","Total employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,1430,,
"DNK","Denmark","TE","Total employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,1417,,
"DNK","Denmark","TE","Total employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1422,,
"DNK","Denmark","TE","Total employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1437,,
"DNK","Denmark","TE","Total employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1423,,
"DNK","Denmark","TE","Total employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1426,,
"DNK","Denmark","TE","Total employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1414,,
"DNK","Denmark","TE","Total employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1407,,
"DNK","Denmark","TE","Total employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1412,,
"DNK","Denmark","TE","Total employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1405,,
"DNK","Denmark","TE","Total employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1392,,
"FIN","Finland","DE","Dependent employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,1557,,
"FIN","Finland","DE","Dependent employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,1547,,
"FIN","Finland","DE","Dependent employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,1542,,
"FIN","Finland","DE","Dependent employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,1538,,
"FIN","Finland","DE","Dependent employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,1540,,
"FIN","Finland","DE","Dependent employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,1533,,
"FIN","Finland","DE","Dependent employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,1533,,
"FIN","Finland","DE","Dependent employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,1534,,
"FIN","Finland","DE","Dependent employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,1532,,
"FIN","Finland","DE","Dependent employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,1509,,
"FIN","Finland","DE","Dependent employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1519,,
"FIN","Finland","DE","Dependent employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1521,,
"FIN","Finland","DE","Dependent employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1511,,
"FIN","Finland","DE","Dependent employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1506,,
"FIN","Finland","DE","Dependent employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1504,,
"FIN","Finland","DE","Dependent employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1504,,
"FIN","Finland","DE","Dependent employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1506,,
"FIN","Finland","DE","Dependent employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1506,,
"FIN","Finland","TE","Total employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,1663,,
"FIN","Finland","TE","Total employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,1644,,
"FIN","Finland","TE","Total employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,1636,,
"FIN","Finland","TE","Total employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,1628,,
"FIN","Finland","TE","Total employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,1629,,
"FIN","Finland","TE","Total employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,1620,,
"FIN","Finland","TE","Total employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,1616,,
"FIN","Finland","TE","Total employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,1614,,
"FIN","Finland","TE","Total employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,1608,,
"FIN","Finland","TE","Total employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,1585,,
"FIN","Finland","TE","Total employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1592,,
"FIN","Finland","TE","Total employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1587,,
"FIN","Finland","TE","Total employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1575,,
"FIN","Finland","TE","Total employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1565,,
"FIN","Finland","TE","Total employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1562,,
"FIN","Finland","TE","Total employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1563,,
"FIN","Finland","TE","Total employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1560,,
"FIN","Finland","TE","Total employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1556,,
"FIN","Finland","TE","Total employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1555,,
"FRA","France","DE","Dependent employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,1430,,
